<ID|readonly|noverify>;<English>
weapons/25mm_PG87_user_cannon;<color=@userlogColoredText>25 mm</color> WA709 | PG1987式双管25毫米高射机关炮 <color=#ff6f00>ACNN</color>
weapons/30mm_pgz_625_user_cannon;<color=@userlogColoredText>30 mm</color> 630型30毫米高射机关炮 <color=#ff6f00>ACNN</color>
weapons/25mm_zpt90_user_cannon;<color=@userlogColoredText>25 mm</color> ZPT1990式25毫米坦克炮 <color=#ff6f00>ACNN</color>
weapons/cannonType30_1;<color=@userlogColoredText>30 mm</color> 30毫米1型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannonType30_1/short;30-1型
weapons/cannonType_30_4;<color=@userlogColoredText>30 mm</color> 30毫米4型航空机炮 <color=#ff6f00>ACNN</color>
weapons/cannonType_30_4/short;30-4型
weapons/30mm_ZPZ02_user_cannon;<color=@userlogColoredText>30 mm</color> ZPZ2002式30毫米坦克炮 <color=#ff6f00>ACNN</color>
weapons/30mm_zpt_99_user_cannon;<color=@userlogColoredText>30 mm</color> ZPZ2002式30毫米坦克炮 <color=#ff6f00>ACNN</color>
weapons/35mm_PG_99_35_2_user_cannon;<color=@userlogColoredText>35 mm</color> PGZ2009式双35毫米自行高炮 <color=#ff6f00>ACNN</color>
weapons/cannonType37_1;<color=@userlogColoredText>37 mm</color> 37毫米1型航空机炮 <color=#ff6f00>ACNN</color>
weapons/57mm_WA_318_user_cannon;<color=@userlogColoredText>57 mm</color> WA318 | PG1959式57毫米高射炮 <color=#ff6f00>ACNN</color>
weapons/73mm_Type_85_user_cannon;<color=@userlogColoredText>73 mm</color> 1986年式73毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/85mm_Type_62_85_TC_user_cannon;<color=@userlogColoredText>85 mm</color> 1963年式85毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/85mm_Type_63_user_cannon;<color=@userlogColoredText>85 mm</color> 1963年式85毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/100mm_PTP86_user_cannon;<color=@userlogColoredText>100 mm</color> WA301 | PTL2002式100毫米轮式自行突击炮 <color=#ff6f00>CNN</color>
weapons/100mm_Type59_user_cannon;<color=@userlogColoredText>100 mm</color> 1959年式100毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/100mm_Type69_user_cannon;<color=@userlogColoredText>100 mm</color> 1969年式100毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/100mm_Type69_II_user_cannon;<color=@userlogColoredText>100 mm</color> Type 69-II 100 mm Tank Gun <color=#ff6f00>CNN</color>
weapons/100mm_2a70_zbd_user_cannon;<color=@userlogColoredText>100 mm</color> ZPL2004式100毫米坦克炮 <color=#ff6f00>CNN-LCH</color>
weapons/105mm_type_75_user_cannon;<color=@userlogColoredText>105 mm</color> PW1975式105毫米无后坐力炮 <color=#ff6f00>CNN-RCL</color>
weapons/105mm_Type_83_user_cannon;<color=@userlogColoredText>105 mm</color> 1983年式105毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/105mm_88B_105T_user_cannon;<color=@userlogColoredText>105 mm</color> 1983A年式105毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/105mm_ZPL94_user_cannon;<color=@userlogColoredText>105 mm</color> ZPL1994式105毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/105mm_AT_WMA_user_cannon;<color=@userlogColoredText>105 mm</color> ZPL1998A式105毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/105mm_ZPL98A_user_cannon;<color=@userlogColoredText>105 mm</color> ZPL1998A式105毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/105mm_ZPL151A_user_cannon;<color=@userlogColoredText>105 mm</color> ZPL151式105毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/120mm_122TM_user_cannon;<color=@userlogColoredText>120 mm</color> 1971年式120毫米滑膛坦克炮 <color=#ff6f00>CNN</color>
weapons/120mm_PTZ89_user_cannon;<color=@userlogColoredText>120 mm</color> WA371 | PTZ1989式120毫米自行反坦克炮 <color=#ff6f00>CNN</color>
weapons/125mm_Type_88C_user_cannon;<color=@userlogColoredText>125 mm</color> ZPT1988C式125毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/125mm_ZPT_98_user_cannon;<color=@userlogColoredText>125 mm</color> ZPT1998式125毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/125mm_Type_99A_user_cannon;<color=@userlogColoredText>125 mm</color> ZPT1998A式125毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/125mm_l54_cn_user_cannon;<color=@userlogColoredText>125 mm</color> ZPT式125毫米坦克炮 <color=#ff6f00>CNN</color>
weapons/130mm_pl_59a_gai_user_cannon;<color=@userlogColoredText>130 mm</color> PL1959A式130毫米加农炮 <color=#ff6f00>CNN-HWZ</color>
weapons/152mm_pl_66_gai_user_cannon;<color=@userlogColoredText>152 mm</color> PLZ1983式152毫米自行加榴炮 <color=#ff6f00>CNN-HWZ</color>
weapons/155mm_PL05_user_cannon;<color=@userlogColoredText>155 mm</color> PLZ2005式155毫米自行加榴炮 <color=#ff6f00>CNN-HWZ</color>

//AMMUNITION
30mm_china_HE;CS/BAH06-30
30mm_china_PTFP;CS/BAE5-30
30mm_zpz02_hei;DTY02-30
30mm_zpz02_apds;DTC04-30
30mm_dtc10_30;DTC10-30
73mm_type_85_he;DYS73-73
73mm_type_85_heat;DYP73-73
type_56_he;56式85毫米杀爆榴弹
85mm_type1956;56式85毫米破甲弹
type_56_hvap;56式85毫米超速穿甲弹
type_56_apbc;56式85毫米尖穿甲弹
type_56_apc;56式85毫米穿甲弹
85mm_djw_85;DJW1-85
type_44_he;59式100毫米杀爆榴弹
type_44_ap;59式100毫米穿甲弹
100mm_type1959;59式100毫米钨穿甲弹
100mm_type1973;73式100毫米破甲弹
100mm_1_71_74;71式100毫米杀爆榴弹
100mm_1_72_85;71式100毫米穿甲弹
100mm_dyw_pt_86_100;DYW/PTL02-100
105mm_TYPE83_APDS;1983式105毫米穿甲弹
105mm_TYPE83_HEAT;1983式105毫米破甲弹
105mm_TYPE83_HESH;1983式105毫米碎甲弹
105mm_type_75_heat;DTP/PW75-105
105mm_type_75_hesh;DTJ/PW75-105
105mm_btm_1;BTM1-105
105mm_dtb_1_he;DTB1-105
105mm_dtw2_105;DTW2-105
120mm_122tm_steel;71式120毫米穿甲弹
120mm_122tm_tungsten;71式120毫米钨穿甲弹
120mm_122tm_he;71式120毫米杀爆榴弹
120mm_122tm_heat;71式120毫米破甲弹
120mm_dyw_1;DYW/PTZ89-120
120mm_dys_120;DYS/PTZ89-120
125mm_dtb_125;DTB-125
125mm_dtb_12_he;DTB12-125
125mm_dtp_125;DTP-125
125mm_125_1;85-1式125毫米穿甲弹
125mm_dtw_125;DTW-125
125mm_dtc10_125;DTC10-125
125mm_bta4;BTA4-125
130mm_djb_1;DJB2/PL59A-130
130mm_djb_1_vt;DJB3/PL59A-130
130mm_djb_1_smoke;DJF1/PL59A-130
152mm_bee_7;CS/BEE7-152
152mm_bee_7_vt;CS/BEE7-152 (VTF)
152mm_ddb_1;DDB1/PLZ83-152
152mm_ddb_1_vt;DDB1/PLZ83-152 (VTF)
155mm_plz_05_he;DLXA/PLZ05-155
155mm_plz_05_he_vt;DLXA/PLZ05-155 (VTF)

//BOMBS
weapons/cn_gp_100_2;<color=@userlogColoredText>140 kg</color> 100公斤2型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_100_2/short;100-2型
weapons/cn_gp_250_2;<color=@userlogColoredText>236 kg</color> 250公斤2型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_250_2/short;250-2型
weapons/su_ofab250_olive;<color=@userlogColoredText>236.92 kg</color> 250公斤2型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/su_ofab250_olive/short;250-2型
weapons/cn_gp_250_3;<color=@userlogColoredText>216.5 kg</color> 250公斤3型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_250_3/short;250-3型
weapons/cn_gp_250_3_default;<color=@userlogColoredText>216.5 kg</color> 250公斤3型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_250_3_default/short;250-3型
weapons/cn_gp_250_4;<color=@userlogColoredText>240 kg</color> 250公斤4型航空爆破炸弹 <color=#ff6f00>BMB-HD</color>
weapons/cn_gp_250_4/short;250-4型
weapons/cn_gp_250_1_incendiary;<color=@userlogColoredText>342 kg</color> 250公斤1型航空爆破燃烧炸弹 <color=#ff6f00>BMB-NPM</color>
weapons/cn_gp_250_1_incendiary/short;250-1型 (燃烧)
weapons/cn_gp_250_2_incendiary;<color=@userlogColoredText>135 kg</color> 250公斤1型航空爆破燃烧炸弹 <color=#ff6f00>BMB-NPM</color>
weapons/cn_gp_250_2_incendiary/short;250-1型 (燃烧)
weapons/cn_ts_250;<color=@userlogColoredText>260 kg</color> GB250型250公斤激光卫星制导炸弹 <color=#ff6f00>BMB-LG/GNSS</color>
weapons/cn_ts_250/short;GB250
weapons/cn_ls_6_250;<color=@userlogColoredText>290 kg</color> LS-6型250公斤制导滑翔炸弹 <color=#ff6f00>BMB-GNSS</color>
weapons/cn_ls_6_250/short;LS-6/250
weapons/cn_gp_500_2;<color=@userlogColoredText>473 kg</color> 500公斤2型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_500_2/short;500-2型
weapons/cn_gp_500_3;<color=@userlogColoredText>469 kg</color> 500公斤3型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_500_3/short;500-3型
weapons/cn_gp_500_4;<color=@userlogColoredText>508.3 kg</color> 500公斤4型航空爆破炸弹 <color=#ff6f00>BMB-HD</color>
weapons/cn_gp_500_4/short;500-4型
weapons/cn_ls_6_500;<color=@userlogColoredText>630 kg</color> LS-6型500公斤制导滑翔炸弹 <color=#ff6f00>BMB-GNSS</color>
weapons/cn_ls_6_500/short;LS-6/500
weapons/cn_ls_500j;<color=@userlogColoredText>570 kg</color> K/YJG500型500公斤激光制导炸弹 <color=#ff6f00>BMB-LG</color>
weapons/cn_ls_500j/short;K/YJG500B
weapons/cn_ls_1000j;<color=@userlogColoredText>1090 kg</color> GB1000型1000公斤激光卫星制导炸弹 <color=#ff6f00>BMB-LG/GNSS</color>
weapons/cn_ls_1000j/short;GB1000
weapons/cn_gp_1500_2;<color=@userlogColoredText>1447 kg</color> 1500公斤2型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_1500_2/short;1500-2型
weapons/cn_gp_3000_2;<color=@userlogColoredText>2840 kg</color> 3000公斤2型航空爆破炸弹 <color=#ff6f00>BMB</color>
weapons/cn_gp_3000_2/short;3000-2型

//ROCKETS
weapons/cn_fs_70;FS70航空火箭弹 <color=#ff6f00>RKT</color>
weapons/cn_fs_70/short;FS70
weapons/cn_fire_snake_70a;GR5航空制导火箭弹 <color=#ff6f00>RKT-GNSS</color>
weapons/cn_fire_snake_70a/short;GR5
weapons/cn_type90_he;90毫米1型航空火箭杀伤爆破弹 <color=#ff6f00>RKT</color>
weapons/cn_type90_he/short;90-1型 (杀爆弹)
weapons/cn_type90_heat;90毫米1型航空火箭破甲弹 <color=#ff6f00>RKT</color>
weapons/cn_type90_heat/short;90-1型 (破甲)
weapons/cn_fire_snake_90a_brm1;BRM1型90毫米航空制导火箭弹 <color=#ff6f00>RKT-LG</color>
weapons/cn_fire_snake_90a_brm1/short;BRM1
weapons/cn_type130_ap;130毫米1型航空火箭杀伤爆破弹 <color=#ff6f00>RKT</color>
weapons/cn_type130_ap/short;130-1型

//MISSILES
weapons/su_pl2;PL2 | K/AKK2空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl2/short;K/AKK2
weapons/su_pl2_default;PL2 | K/AKK2空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl2_default/short;K/AKK2
weapons/su_pl5b;PL5B | K/AKK5B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5b/short;K/AKK5B
weapons/su_pl5b_default;PL5B | K/AKK5B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5b_default/short;K/AKK5B
weapons/su_pl5c;PL5C | K/AKK5C空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5c/short;K/AKK5C
weapons/su_pl5c_default;PL5C | K/AKK5C空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5c_default/short;K/AKK5C
weapons/su_pl5e2;PL5EII | K/AKK5EII空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5e2/short;K/AKK5EII
weapons/su_pl5e2_default;PL5EII | K/AKK5EII空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5e2_default/short;K/AKK5EII
weapons/su_pl7;PL7 | K/AKK7空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl7/short;K/AKK7
weapons/su_pl8;PL8 | K/AKK8空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl8/short;K/AKK8
weapons/su_pl8_default;PL8 | K/AKK8空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl8_default/short;K/AKK8
weapons/cn_pl8b;PL8B | K/AKK8B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_pl8b/short;K/AKK8B
weapons/cn_pl8b_default;PL8B | K/AKK8B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_pl8b_default/short;K/AKK8B
weapons/cn_pl11;PL11 | K/AKK11空空导弹 <color=#ff6f00>AAM-SARH</color>
weapons/cn_pl11/short;K/AKK11
weapons/cn_pl12;PL12 | K/AKK12空空导弹 <color=#ff6f00>AAM-ARH</color>
weapons/cn_pl12/short;K/AKK12
weapons/cn_pl12_default;PL12 | K/AKK12空空导弹 <color=#ff6f00>AAM-ARH</color>
weapons/cn_pl12_default/short;K/AKK12
weapons/cn_ty_90;TY90 | AKK90空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_ty_90/short;AKK90
weapons/cn_akd_9;AKD09空地导弹 <color=#ff6f00>AGM-LG</color>
weapons/cn_akd_9/short;AKD09
weapons/cn_akd_9_default;AKD09空地导弹 <color=#ff6f00>AGM-LG</color>
weapons/cn_akd_9_default/short;AKD09
weapons/cn_ba_9;AKD09空地导弹 <color=#ff6f00>AGM-LG</color>
weapons/cn_ba_9/short;AKD09
weapons/cn_akd_10;AKD10空地导弹 <color=#ff6f00>AGM-LG</color>
weapons/cn_akd_10/short;AKD10
weapons/cn_yj_81k;YJ81 | H/AKJ08空舰导弹 <color=#ff6f00>AShM-ARH</color>
weapons/cn_yj_81k/short;H/AKJ08
weapons/cn_hj_8a;HJ8A | AFT08A反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8a/short;AFT08A
weapons/cn_hj_8c;HJ8C | AFT08C反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8c/short;AFT08C
weapons/cn_hj_8e;HJ8E | AFT08E反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8e/short;AFT08E
weapons/cn_hj_8e_default;HJ8E | AFT08E反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8e_default/short;AFT08E
weapons/cn_hj_8h;HJ8H | AFT08H反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8h/short;AFT08H
weapons/cn_hj_8l;HJ8L | AFT08L反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8l/short;AFT08L
weapons/cn_cm_502kg_he;CM502KG轻型近程空面导弹武器系统 <color=#ff6f00>AGM-IR</color>
weapons/cn_cm_502kg_he/short;CM502KG
weapons/cn_cm_502kg_he_rail;CM502KG轻型近程空面导弹武器系统 <color=#ff6f00>AGM-IR</color>
weapons/cn_cm_502kg_he_rail/short;CM502KG
weapons/125mm_hj_73_rocket_launcher;HJ73 | AFT07反坦克导弹 <color=#ff6f00>LCH</color>
weapons/125mm_hj_73_rocket_launcher/short;AFT07
weapons/125mm_AFT_07_rocket_launcher;HJ73E | AFT07E反坦克导弹 <color=#ff6f00>LCH</color>
weapons/125mm_AFT_07_rocket_launcher/short;AFT07E
125mm_hj_73;AFT07
weapons/125mm_hj_73/short;AFT07
125mm_hj_73e;AFT07E
weapons/125mm_hj_73e/short;AFT07E
120_aft_07;AFT07E
weapons/120_aft_07/short;AFT07E
weapons/120mm_302_atgm_rocket_launcher;302反坦克导弹 <color=#ff6f00>LCH</color>
weapons/120mm_302_atgm_rocket_launcher/short;302
atgm_302;302
weapons/atgm_302/short;302
weapons/152mm_hj_9_launcher_user_cannon;HJ9 | AFT09重型反坦克导弹发射车 <color=#ff6f00>LCH</color>
152mm_hj9;AFT09
weapons/130mm_FB_10_rocket_launcher;FB10地對空导弹发射器 <color=#ff6f00>LCH</color>
weapons/72mm_HN_6_launcher_user_cannon;HN6地對空导弹发射器 <color=#ff6f00>LCH</color>
72mm_hn_6;HN6
weapons/72mm_hn_6/short;HN6
weapons/239mm_HQ_17_user_cannon;HQ17 | ADK17地對空导弹系統 <color=#ff6f00>LCH</color>
239mm_hq17;ADK17
weapons/239mm_hq17/short;ADK17
weapons/127mm_tc_1l_rocket_launcher_user_cannon;劍一防空飛彈系統 <color=#ff6f00>LCH</color>
weapons/127mm_tc_1l_rocket_launcher_user_cannon/short;劍一防飛系
127mm_tc_1l;劍一

//FUEL TANKS
weapons/cn_800l_fyx800_drop_tank_1;<color=@userlogColoredText>800 L</color> K/FYX800B副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_800l_fyx800_drop_tank_1/short;K/FYX800B
weapons/cn_800l_central_fyx800_drop_tank;<color=@userlogColoredText>800 L</color> K/FYX800B副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_800l_central_fyx800_drop_tank/short;K/FYX800B
weapons/cn_800l_fyx800_drop_tank_2;<color=@userlogColoredText>800 L</color> K/FYX800B副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_800l_fyx800_drop_tank_2/short;K/FYX800B
weapons/cn_800l_fyx800_j_10_drop_tank_1;<color=@userlogColoredText>800 L</color> K/FYX800B副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_800l_fyx800_j_10_drop_tank_1/short;K/FYX800B
weapons/cn_800l_fyx800_j_10_drop_tank_2;<color=@userlogColoredText>800 L</color> K/FYX800B副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_800l_fyx800_j_10_drop_tank_2/short;K/FYX800B
weapons/cn_1400l_fyx1400_drop_tank_1;<color=@userlogColoredText>1400 L</color> K/FYX1400E副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1400l_fyx1400_drop_tank_1/short;K/FYX1400E
weapons/cn_1400l_fyx1400_drop_tank_2;<color=@userlogColoredText>1400 L</color> K/FYX1400E副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1400l_fyx1400_drop_tank_2/short;K/FYX1400E
weapons/cn_1400l_fyx1400_drop_tank_3;<color=@userlogColoredText>1400 L</color> K/FYX1400E副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1400l_fyx1400_drop_tank_3/short;K/FYX1400E
weapons/cn_1400l_fyx1400_j_8_fuse_drop_tank;<color=@userlogColoredText>1400 L</color> K/FYX1400E副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1400l_fyx1400_j_8_fuse_drop_tank/short;K/FYX1400E
weapons/cn_1600l_drop_tank;<color=@userlogColoredText>1600 L</color> K/FYX1700副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1600l_drop_tank/short;K/FYX1700
weapons/cn_1600l_drop_tank_1;<color=@userlogColoredText>1600 L</color> K/FYX1700副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1600l_drop_tank_1/short;K/FYX1700
weapons/cn_1600l_drop_tank_2;<color=@userlogColoredText>1600 L</color> K/FYX1700副油箱 <color=#ff6f00>DPTK</color>
weapons/cn_1600l_drop_tank_2/short;K/FYX1700
