<ID|readonly|noverify>;<English>
loading_bg/login_layer_battlecruiser_alaska;USS Alaska (CB-1)
loading_bg/login_layer_m1a2_abrams;M1A2 Abrams
loading_bg/login_layer_su_25;Su-25
loading_bg/login_layer_douglas_a_1h;A-1H Skyraider
loading_bg/login_layer_douglas_a_1h/desc;"Reward for level 100 of the ""Smell of Victory"" Battle Pass season."
loading_bg/login_layer_churchill_crocodile;Churchill, Mk. VII, Crocodile
loading_bg/login_layer_air_finland;Finnish Air Forces
loading_bg/login_layer_finnish_ground_forces;Finnish Ground Forces
loading_bg/login_layer_wt_10_years;10th Anniversary of War Thunder
loading_bg/login_layer_sturmmorser_sturmtiger;Sturmmörserwagen 604/4
loading_bg/login_layer_wolfpack;M1128 MGS (3rd Sqd. 2nd Cav.Reg.)
loading_bg/login_layer_cruiser_garibaldi_class_abruzzi;Luigi di Savoia Duca degli Abruzzi
loading_bg/login_layer_apex_predators;Apex Predators
loading_bg/login_layer_amx_50_1950;AMX 50 (TO 90/930)
loading_bg/login_layer_amx_50_1950/desc;"Reward for level 100 of the ""Royal Guard"" Battle Pass season."
loading_bg/login_layer_ah_6m;AH-6M Littlebird
loading_bg/login_layer_desmonies_nevada;USS Des Moines (CA-148) and USS Nevada (BB-36)
loading_bg/login_layer_char_2c;FCM 2C vs Pz.Kpfw. III J and Pz.Kpfw. II C
loading_bg/login_layer_yak_141;Yak-141 and Ka-29
loading_bg/login_layer_armored_vehicles;VBCI MK2 (MCT-30), VBM Freccia C/C, and BTR-80A
loading_bg/login_layer_j_8f;J8F
loading_bg/login_layer_la_royale;French Naval Forces
loading_bg/login_layer_mi_8_to_55;Mi-8 and TO-55
loading_bg/login_layer_chaparral;M48A2 GMS vs Su-25T
loading_bg/login_layer_kings_battle;Kings of Battles
loading_bg/login_layer_yamashiro;Yamashiro
loading_bg/login_layer_hungary_ground_vehicles;Hungarian Ground Forces
loading_bg/login_layer_football;Tank Football — Inspiration
loading_bg/login_layer_mobile_infantry;Mobile Infantry
loading_bg/login_layer_centurion_mk2;"Centurion, Mk. II"
loading_bg/login_layer_centurion_mk2/desc;"Reward for level 100 of the ""Her Majesty's Hussar"" Battle Pass season."
loading_bg/login_layer_atomic_thunder;Atomic Thunder — Hedgie
loading_bg/login_layer_atomic_thunder_twins_01;Atomic Thunder — MiG-15
loading_bg/login_layer_atomic_thunder_twins_02;Atomic Thunder — War Machines
loading_bg/login_layer_spz_12_3;SPz 12-3 (LGs M 40 A1)
loading_bg/login_layer_spz_12_3/desc;"Reward for level 100 of the ""Armour Breaking Ambusher"" Battle Pass season."
loading_bg/login_layer_strikemaster;Strikemaster Mk. 88
loading_bg/login_layer_strikemaster/desc;"Reward for level 100 of the ""Tropical Storm"" Battle Pass season."
loading_bg/login_layer_night_battles;Night Battles
loading_bg/login_layer_submarine_convoy_hunting;Battle of the Atlantic
loading_bg/login_layer_wt_11_years_fire;11th Anniversary of War Thunder — Fire
loading_bg/login_layer_wt_11_years_dark;11th Anniversary of War Thunder — Night
loading_bg/login_layer_togii;T.O.G. 2*
loading_bg/login_layer_jas39Gripen;JAS 39 A Gripen and ▄ Gripen C
loading_bg/login_layer_vt_4b;VT4A1
loading_bg/login_layer_air_superiority;Air Superiority
loading_bg/login_layer_winter_marathon_2024;Winter Extreme — 2023-24
loading_bg/login_layer_m551_76;M551 (M32A1)
loading_bg/login_layer_m551_76/desc;"Reward for level 100 in the ""Airborne General"" Battle Pass season."
loading_bg/login_layer_call_of_the_dragon;Call of the Dragon
loading_bg/login_layer_zbd_04a;ZBD04A and Z10
loading_bg/login_layer_f20;F-20A-NO Tigershark
loading_bg/login_layer_hungary_aircrafts;Hungarian Air Forces
loading_bg/login_layer_mad_thunder;Mad Thunder
loading_bg/login_layer_kungstiger;♛ Tiger B (Fgst.Nr. 6)
loading_bg/login_layer_kungstiger/desc;"Reward for level 100 in the ""Northern King"" Battle Pass season."
loading_bg/login_layer_f_4f_lws_lv;◄ F-4F KWS-LV
loading_bg/login_layer_desert_warrior;Fahris
loading_bg/login_layer_fokker_g1a;G.I Mercury
loading_bg/login_layer_seek_and_destroy;Seek and Destroy
loading_bg/login_layer_sholef;Šolef V1
loading_bg/login_layer_sholef/desc;"Reward for level 100 in the ""Skilled Marksman"" Battle Pass season."
loading_bg/login_layer_battlecruiser_izmail;Izmail
loading_bg/login_layer_tactical_wheeled_vehicle;RCV and SPz Puma S1
loading_bg/login_layer_dance_of_dragons;Dance of Dragons
loading_bg/login_layer_he_177a_3;He 177 A-3/R3
loading_bg/login_layer_he_177a_3/desc;"Reward for level 100 in the ""Guided Fury"" Battle Pass season."
loading_bg/login_layer_mi_24_super_hind;Night Hawk
loading_bg/login_layer_f_117;F-117A-1-LO (OCIP II)
loading_bg/login_layer_su_34;Su-34NVO
loading_bg/login_layer_luchs_a2_fv107_scimitar;SpPz Luchs A2 and Scimitar
loading_bg/login_layer_wt_12_years;12th Anniversary of War Thunder
loading_bg/login_layer_air_marathon_2024;I.A.R.93-B
loading_bg/login_layer_rafale;Eurofighter (T2 B10) and Rafale C (F3R)
loading_bg/login_layer_pzh_2000;PzH 2000 A1
loading_bg/login_layer_fa_18c_late;F/A-18C-52-MC
loading_bg/login_layer_f2s19m1_msta_s;2S19M1
loading_bg/login_layer_su_30sm;Su-30SM
loading_bg/login_layer_iris_slm_launch;LV IRIS-T SLM
loading_bg/login_layer_rah_66_comanche;YRAH-66A (2000)
loading_bg/login_layer_pgz_625_fb10;CS/SA5 (2022)
loading_bg/login_layer_yamato;Yamato
loading_bg/login_layer_m46_france;☨ M46
loading_bg/login_layer_m46_france/desc;"Reward for level 100 in the ""The Last Legionnaire"" Battle Pass season."
loading_bg/login_layer_football_event_2025;Tank Football — What a kick!
loading_bg/login_layer_ship_marathon_strasbourg;Strasbourg
loading_bg/login_layer_the_great_war;The Great War
loading_bg/login_layer_t_44_po;T-44 №1
loading_bg/login_layer_t_44_po/desc;"Reward for level 100 in the ""First Sample"" Battle Pass season."
loading_bg/login_layer_wz_141;141 (1 Hào)
loading_bg/login_layer_wz_141/desc;"Reward for level 100 in the ""Flying Dragon"" Battle Pass season."
loading_bg/login_layer_ship_marathon_hiburi;Shisaka
loading_bg/login_layer_germ_battlecruiser_mackensen;Mackensen
loading_bg/login_layer_battleship_nelson;HMS Nelson (28)
loading_bg/login_layer_m55;M55
loading_bg/login_layer_oplot_t;Th.Hlạk 57
loading_bg/login_layer_fire_and_forget;AH-64E Apache (v6), Mi-28NM, and Z10ME-02
loading_bg/login_layer_re_2005_vdm;Re.2005 (9-12087A)
loading_bg/login_layer_re_2005_vdm/desc;"Reward for level 100 in the ""Brave Archer"" Battle Pass season."
loading_bg/login_layer_xf5u;XF5U-1
loading_bg/login_layer_ah_56a;AH-56A
loading_bg/login_layer_hawk_200;Hawk 200 (ZH200)
loading_bg/login_layer_jaguar_ebrc;EBRC Jaguar
loading_bg/login_layer_mig_25pd;MiG-25PD
loading_bg/login_layer_fa_18e_block_2;F/A-18E-2-MC
loading_bg/login_layer_battleship_prince_of_wales;HMS Prince of Wales (53)
loading_bg/login_layer_bmpt_72;BMPT-72
loading_bg/login_layer_ny_marathon_25;Winter Concert
loading_bg/login_layer_amx_elc_901;E.L.C. (TC.901)
loading_bg/login_layer_amx_elc_901/desc;"Reward for level 100 in the ""The Elusive Musketeer"" Battle Pass season."

//PROFILE BACKGROUNDS
profile_header_t_44_po/name;T-44 (№ 1)
profile_header_efv_p1/name;EFV-P1 (SDD-2) (M82)
profile_header_xf5u/name;XF5U-1
